Cumulative Tape,       Test (PB),      0.1,      0.3,      0.5,      0.4,      1.3,      1.3,      0.7,      0.7
Tape Copies,       Reco (PB),      0.4,      1.1,      1.3,      1.2,      1.4,      2.9,      3.5,      2.6
Disk Copies,       Reco (PB),      0.8,      2.1,      2.6,      2.4,      2.8,      5.8,      7.0,      5.2
Cumulative Disk,       Reco (PB),      0.8,      2.9,      4.8,      5.0,      5.2,      8.6,     12.8,     12.3
Cumulative Tape,       Reco (PB),      0.4,      1.5,      2.8,      4.0,      5.4,      8.3,     11.8,     14.4
Tape Copies,        Sim (PB),      0.6,      2.2,      2.7,      4.6,      4.9,      4.9,      4.9,      4.9
Disk Copies,        Sim (PB),      1.1,      4.4,      5.4,      9.1,      9.8,      9.8,      9.8,      9.8
Cumulative Disk,        Sim (PB),      1.1,      5.5,      9.8,     14.5,     18.9,     19.6,     19.6,     19.6
Cumulative Tape,        Sim (PB),      0.6,      2.8,      5.5,     10.0,     14.9,     19.8,     24.7,     29.6
Cumulative Tape,        All (PB),      2.5,      8.9,     14.2,     21.1,     33.4,     49.4,     62.2,     69.8
Cumulative Disk,        All (PB),      2.7,     10.0,     15.4,     20.4,     27.3,     33.0,     35.2,     32.2
